Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7924762,SA_0000001445,COUNTRY,CUB,YEAR,AMR,Americas,SEX,SEX_MLE,2004,,,,,,,4.9,4.9,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4123464,SA_0000001445,COUNTRY,AUS,YEAR,WPR,Western Pacific,,,2002,,,,,,,2.89,2.89,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
923468,SA_0000001445,COUNTRY,COM,YEAR,AFR,Africa,,,2002,,,,,,,10.43,10.43,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
2958924,SA_0000001445,COUNTRY,MHL,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2004,,,,,,,14.3,14.3,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1547199,SA_0000001445,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2004,,,,,,,8,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6009597,SA_0000001445,COUNTRY,LSO,YEAR,AFR,Africa,SEX,SEX_MLE,2004,,,,,,,21.7,21.7,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2984281,SA_0000001445,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2004,,,,,,,3.5,3.5,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9650840,SA_0000001445,COUNTRY,TUR,YEAR,EUR,Europe,SEX,SEX_FMLE,2004,,,,,,,1.8,1.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6527611,SA_0000001445,COUNTRY,PAN,YEAR,AMR,Americas,SEX,SEX_FMLE,2004,,,,,,,2.6,2.6,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
5309406,SA_0000001445,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2004,,,,,,,16.8,16.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
3553642,SA_0000001445,COUNTRY,FSM,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2004,,,,,,,8.1,8.1,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9302165,SA_0000001445,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2004,,,,,,,3.1,3.1,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9562104,SA_0000001445,COUNTRY,ISL,YEAR,EUR,Europe,SEX,SEX_MLE,2004,,,,,,,1.9,1.9,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2997053,SA_0000001445,COUNTRY,BFA,YEAR,AFR,Africa,SEX,SEX_FMLE,2004,,,,,,,12.8,12.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
595868,SA_0000001445,COUNTRY,LVA,YEAR,EUR,Europe,SEX,SEX_FMLE,2004,,,,,,,1.8,1.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
